INLA.max.edge,sigma2x.true,boundary.splitter,beta0.true,kappa.true,folder_string,FEM.approx.mesh,OmegaArea,MeshExact,Voronoi,DualMesh,DualMeshExtra,DualMeshExtraMeshMapped,BarycentricPointSpread,BarycentricPointSpreadManyPoints,AvgDetMethods
4,0.2,1,0,3.77123616632825,20191023_0945_iHcBtj,TRUE,256,1.39250378296713e-07,1.03283748314096e-07,1.04617560992581e-07,1.09931607336197e-07,1.04137820063091e-07,1.07549495318592e-07,1.05681519968599e-07,1.04997971444872e-07
4,0.2,1,0,5.65685424949238,20191023_0945_iHcBtj,TRUE,256,1.54229051473517e-07,1.34635747031487e-07,1.35508916106051e-07,1.38508653626116e-07,1.35193666157381e-07,1.39022699885348e-07,1.36930360714299e-07,1.36229238043659e-07
4,0.2,1,0,11.3137084989848,20191023_0945_iHcBtj,TRUE,256,1.64877752542874e-07,1.59235968111225e-07,1.59529876577039e-07,1.60406652470401e-07,1.59420701768963e-07,1.63529854646527e-07,1.61288218179072e-07,1.60590268423623e-07
4,0.5,1,0,0.353553390593274,20191023_0945_iHcBtj,TRUE,256,2.04647215391277e-08,9.42275532920842e-08,9.62394007347324e-08,6.16138194017568e-08,9.14363521216117e-08,8.7710578006051e-08,8.96815125977292e-08,9.12064388069597e-08
4,0.5,1,0,0.471404520791032,20191023_0945_iHcBtj,TRUE,256,4.80049685501121e-08,1.18450382426879e-07,1.18291745899989e-07,7.26687878038292e-08,1.1335664549063e-07,1.09293166635915e-07,1.11453972743014e-07,1.13310168808891e-07
4,0.5,1,0,0.707106781186548,20191023_0945_iHcBtj,TRUE,256,1.36433361670676e-07,9.50107138396084e-08,8.99217647187546e-08,4.90765946152169e-08,8.65836950792301e-08,8.33979819273023e-08,8.51282875585403e-08,8.69718515526631e-08
4,0.5,1,0,0.942809041582063,20191023_0945_iHcBtj,TRUE,256,2.54051448486843e-07,4.79852496186629e-08,4.21539920266629e-08,2.76030825539923e-08,3.9803927499966e-08,3.85708373438104e-08,3.92495792780765e-08,4.05429230398074e-08
4,0.5,1,0,1.4142135623731,20191023_0945_iHcBtj,TRUE,256,4.93150527511841e-07,7.15008099721499e-08,7.33187882417039e-08,1.08980470149005e-07,7.10131667947578e-08,7.38967282136308e-08,7.2315436385181e-08,7.16597400799193e-08
4,0.5,1,0,2.82842712474619,20191023_0945_iHcBtj,TRUE,256,9.12623059964744e-07,5.54838286928731e-07,5.66899841963372e-07,6.17997085253002e-07,5.63284136394381e-07,5.71904191409024e-07,5.67151992919381e-07,5.64554142761289e-07
4,0.5,1,0,1.88561808316413,20191023_0945_iHcBtj,TRUE,256,6.82350149322381e-07,2.24200320842585e-07,2.32935844986876e-07,2.88080308780843e-07,2.29821247496411e-07,2.3557851649469e-07,2.32403547607432e-07,2.30472645510331e-07
